z,Surv,z1,Repr,Sex,Recr,Rcsz,yr
2.6790710501698847,1,2.7947386676033603,1.0,1.0,1.0,2.3613011867665445,1
2.721163809594238,0,,,,,,1
2.724165460869656,1,2.8412008665812927,1.0,1.0,1.0,2.337399844042673,1
2.579662807500842,0,,,,,,1
2.7025797030190226,1,3.0301735528856697,0.0,,,,1
2.7373272238293245,0,,,,,,1
2.67490518473024,1,2.9275547433171063,1.0,0.0,,,1
2.8204497661312207,1,2.901636323729386,1.0,1.0,1.0,2.4863150454301977,1
2.570729520911579,0,,,,,,1
2.629123018346528,0,,,,,,1
2.3589511504225293,0,,,,,,1
2.9266640428617543,1,3.002999759791145,0.0,,,,1
2.4813608947135526,0,,,,,,1
2.6510411377321876,0,,,,,,1
2.6998354107941025,1,2.6992779270458382,1.0,0.0,,,1
2.473889312336538,1,2.7650740852396742,0.0,,,,1
2.595484098706806,0,,,,,,1
2.7110226859145756,1,2.8177049238951777,0.0,,,,1
2.5887532996365463,0,,,,,,1
2.5563538423145538,1,2.759948071912024,1.0,0.0,,,1
2.5546329356327444,0,,,,,,1
2.493414495086469,1,2.9168213582309463,0.0,,,,1
2.578735247624095,1,2.804763800927791,0.0,,,,1
2.663392138581783,1,2.8452071566903405,1.0,0.0,,,1
2.6778035066077677,0,,,,,,1
2.778600063086893,1,2.8709058135260532,0.0,,,,1
2.615376000472826,0,,,,,,1
2.5271270099480843,1,2.87025757446736,1.0,0.0,,,1
2.740478576576195,1,2.9787142844278898,1.0,1.0,1.0,2.0472684796907923,1
2.6635341960397345,1,2.8279128936312565,0.0,,,,1
2.766458723656235,0,,,,,,1
2.6388760548066816,1,2.7506958954898098,1.0,0.0,,,1
2.693689076330298,0,,,,,,1
2.6718165596488865,0,,,,,,1
2.725280909140908,0,,,,,,1
2.4575335103873748,1,2.762856511662713,0.0,,,,1
2.594484462604005,1,2.864671402759788,1.0,1.0,1.0,2.3973900712587395,1
2.6394197053657473,1,2.72534020988816,0.0,,,,1
2.8809932875122577,0,,,,,,1
2.600135982155304,1,2.9466327803762,1.0,0.0,,,1
2.6836965981798317,1,2.832848010351966,1.0,1.0,1.0,2.1597835657773863,1
2.583599064586771,0,,,,,,1
2.287193302692591,0,,,,,,1
2.807483903454263,0,,,,,,1
2.7182409718842706,1,2.930314279842789,1.0,0.0,,,1
2.8079482152463986,1,2.9114341981722722,0.0,,,,1
2.39791248597768,1,2.6862087371271675,1.0,0.0,,,1
2.656281494286943,0,,,,,,1
2.639397071344213,1,2.9510209487667285,1.0,1.0,1.0,2.2792001408082156,1
2.36553934298126,0,,,,,,1
2.6851312260300104,0,,,,,,1
2.5163394906066605,0,,,,,,1
2.689135137855758,1,2.913657642782569,1.0,1.0,1.0,2.352450534907497,1
2.3507801593400286,1,2.6016320459153772,1.0,0.0,,,1
2.4732909987922413,1,2.8137460615529943,0.0,,,,1
2.5003961859532544,1,2.8661634745689293,0.0,,,,1
2.372164103366123,0,,,,,,1
2.6206602011585765,1,2.855135482225053,0.0,,,,1
2.8178671633408223,0,,,,,,1
2.6089272943371533,0,,,,,,1
2.332995470942817,0,,,,,,2
2.30580219037257,0,,,,,,2
1.9474880660122311,0,,,,,,2
2.6264228942521965,1,2.7887841489282628,1.0,0.0,,,2
2.25811859463695,0,,,,,,2
2.1952777076563197,1,2.614659320003243,1.0,0.0,,,2
2.4930216658980133,0,,,,,,2
2.3100071891526754,1,2.628827302453138,1.0,0.0,,,2
2.13976526889773,0,,,,,,2
1.820577096644842,0,,,,,,2
2.3670764905595387,0,,,,,,2
1.818101920298905,0,,,,,,2
2.0915059627745824,0,,,,,,2
1.9572807503609966,0,,,,,,2
2.19199470152362,0,,,,,,2
2.1610148348507723,0,,,,,,2
2.2743823766791182,1,2.680466963186217,0.0,,,,2
2.1686967413598177,0,,,,,,2
1.9445940404924542,0,,,,,,2
2.1211255431363103,0,,,,,,2
2.0123772053985753,0,,,,,,2
2.0749743874393345,0,,,,,,2
2.160639588980054,1,2.585082027047838,1.0,0.0,,,2
2.1690915576148635,0,,,,,,2
1.9921803131556675,0,,,,,,2
2.3613011867665445,0,,,,,,2
2.337399844042673,0,,,,,,2
2.4863150454301977,1,2.8194933160263655,1.0,0.0,,,2
2.0472684796907923,0,,,,,,2
2.3973900712587395,0,,,,,,2
2.1597835657773863,0,,,,,,2
2.2792001408082156,0,,,,,,2
2.352450534907497,1,2.6808850473119477,0.0,,,,2
2.687834601255547,1,2.937547299730478,0.0,,,,2
2.8719622946733714,1,3.0160322752452147,0.0,,,,2
2.6814232950295342,1,2.9204419011187146,0.0,,,,2
2.77387300457212,1,3.025019941677221,0.0,,,,2
2.9224045752625454,1,2.976415951201608,0.0,,,,2
2.821868984555348,0,,,,,,2
2.858738147525662,1,3.1403122841844713,1.0,0.0,,,2
3.0771833004674805,1,3.124351029933512,0.0,,,,2
2.8478875374844654,1,3.024920646690516,0.0,,,,2
2.8548913086089227,0,,,,,,2
2.8409310108564907,1,2.9812960556196275,1.0,1.0,1.0,2.2888463865126276,2
2.8795527368353007,0,,,,,,2
2.7775380615036256,0,,,,,,2
2.978683184108568,1,3.040403663449815,1.0,1.0,1.0,2.3809238510528066,2
2.9730146022670314,1,2.965426281562957,0.0,,,,2
2.858140260008896,1,2.9700613907377553,1.0,0.0,,,2
2.9711110573227866,1,2.957625102500492,1.0,0.0,,,2
2.6948973450564675,0,,,,,,2
2.9956876334622637,0,,,,,,2
2.942715458165409,1,2.952949683347047,1.0,0.0,,,2
2.855646364882876,0,,,,,,2
2.8549595163297847,1,3.120074636481287,0.0,,,,2
2.932567870361434,1,3.0456574625505994,1.0,0.0,,,2
2.8960318971888306,1,3.0031823766191015,0.0,,,,2
2.666231306330895,1,2.819863169426243,0.0,,,,2
2.634499421899194,0,,,,,,2
2.951452023312534,1,3.0526019780380627,1.0,0.0,,,2
2.9069688248036423,1,3.029982099825237,0.0,,,,2
2.972918144551612,1,3.113324456184839,1.0,1.0,1.0,2.3376566865398636,2
2.834575677351495,1,2.9776519728079855,0.0,,,,2
2.801151246484764,1,2.9832374297170556,1.0,1.0,1.0,2.625231835469435,2
2.817721310089343,0,,,,,,2
2.8894790212195964,1,3.1127590052275975,0.0,,,,2
2.972543653598603,1,3.1052649412233277,1.0,0.0,,,2
2.9355145031832577,1,3.1263660469255896,0.0,,,,2
2.6411633491831212,0,,,,,,2
2.937877044599531,0,,,,,,2
2.9422635205237113,0,,,,,,2
2.837516333744914,0,,,,,,2
2.889357540888244,1,2.8928864905994924,1.0,0.0,,,2
2.8710232865052006,1,2.9867268052807003,0.0,,,,2
2.8837608560432466,1,3.107726520131371,0.0,,,,2
2.98006703994438,0,,,,,,2
2.90340060384251,1,3.0395057317694203,1.0,0.0,,,2
2.8339329486712423,1,3.099687241613253,1.0,1.0,1.0,2.1841540329021827,2
2.934910679555269,1,3.0228872133222215,0.0,,,,2
2.858951602540332,1,3.092950575710881,0.0,,,,2
2.8123499103195906,1,2.8337793113167256,1.0,1.0,0.0,,2
2.9065984082346934,1,2.9707964751955744,1.0,1.0,0.0,,2
3.0833520633904374,1,3.1403713753447855,1.0,1.0,1.0,2.3687156908802387,2
2.91958907128171,1,2.945274126537699,0.0,,,,2
2.9149065665380562,1,2.875510862971259,1.0,1.0,1.0,2.277065220768269,2
2.8643661567024106,1,3.0690868799826334,1.0,1.0,0.0,,2
2.8898384804470765,0,,,,,,2
2.9076332809785255,1,3.166543433734214,1.0,0.0,,,2
2.9872343726006108,1,3.096622403729689,0.0,,,,2
2.9755896830869024,1,2.9633052721946225,1.0,1.0,1.0,2.329822063532723,2
2.911846379915301,1,3.0277857594853548,1.0,0.0,,,2
2.905383718823786,1,2.9228648462501763,1.0,0.0,,,2
2.954187373926978,1,2.8914495038881127,1.0,0.0,,,2
2.8493326952442577,0,,,,,,2
3.056917193330742,1,3.1537142394456548,1.0,1.0,1.0,2.7623852285148223,2
2.8255531805534453,1,3.02425523595388,1.0,0.0,,,2
2.873356248441292,1,3.015721441690053,1.0,1.0,1.0,2.340908104092027,2
2.9720422702080667,1,2.9607848225934505,1.0,1.0,0.0,,2
2.728575387957838,0,,,,,,2
2.675277377947126,1,2.699561189049005,1.0,0.0,,,2
2.840381520202427,0,,,,,,2
2.7779941808830473,1,2.9996583131741446,0.0,,,,2
